pass,category,name,size,players,version,difficulty,water,rock,nongrass,water_touched,land_components,obj_count,hero,rhero,town,rtown,mine,garrison,water_objs,teams,underground,zmax,border_gates,victory,loss,skipped,reject,h3m
0,open,Pandora's Box ,144,5,AB,1,9147,0,16190,True,27,6479,30,0,28,0,83,0,127,0,1,1,1,6,2,2415,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER,Pandora's Box .h3m
0,open,Race for Ardintinny,144,5,ROE,1,12641,0,18835,True,8,3631,2,0,6,0,52,1,147,0,1,1,0,6,2,361,UNDERGROUND;ZMAX=1;OPEN_WATER,Race for Ardintinny.h3m
0,open,Reclamation,144,7,SOD,1,7138,0,16960,True,9,4686,1,14,0,21,106,2,26,0,0,0,3,-1,-1,248,GATE;OPEN_WATER,Reclamation.h3m
0,open,Reclamation Allied,144,7,SOD,1,7138,0,16960,True,9,4686,1,14,0,21,106,2,26,3,0,0,3,-1,-1,248,GATE;OPEN_WATER;TEAMS=3,Reclamation Allied.h3m
0,open,Serpents Treasure,144,7,ROE,2,8801,0,16390,True,29,3415,1,0,11,0,46,3,127,0,1,1,0,1,-1,201,UNDERGROUND;ZMAX=1;OPEN_WATER,Serpents Treasure.h3m
0,open,Tale of two lands,144,4,AB,1,7154,0,20468,True,17,5340,0,0,0,8,41,0,111,0,1,1,0,-1,-1,148,UNDERGROUND;ZMAX=1;OPEN_WATER,Tale of two lands.h3m
0,open,Tale of two lands (Allies),144,4,AB,1,7154,0,20468,True,17,5340,0,0,0,8,41,0,111,2,1,1,0,-1,-1,148,UNDERGROUND;ZMAX=1;OPEN_WATER;TEAMS=2,Tale of two lands (Allies).h3m
0,open,The Mandate of Heaven,144,5,ROE,3,9185,0,18302,True,28,4483,0,0,12,0,49,0,34,2,1,1,0,6,-1,30,UNDERGROUND;ZMAX=1;OPEN_WATER;TEAMS=2,The Mandate of Heaven.h3m
0,open,Thousand Islands,144,4,AB,1,12548,0,18722,True,69,4492,1,7,0,14,54,1,257,0,0,0,0,5,-1,318,OPEN_WATER,Thousand Islands.h3m
0,open,Thousand Islands (allies),144,7,AB,1,12548,0,18722,True,69,4490,1,7,0,14,54,1,257,4,0,0,0,5,-1,322,OPEN_WATER;TEAMS=4,Thousand Islands (allies).h3m
0,open,Unholy Quest,144,2,ROE,2,17589,0,18068,True,3,2327,1,0,4,0,29,5,6,0,1,1,0,5,1,259,UNDERGROUND;ZMAX=1;OPEN_WATER,Unholy Quest.h3m
0,open,War of the Mighty,144,5,AB,2,435,0,20730,True,2,6944,0,6,3,16,74,0,1,0,1,1,2,-1,-1,400,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER,War of the Mighty.h3m
0,open,War of the Mighty (Allies),144,5,AB,2,435,0,20730,True,2,6944,0,6,3,16,74,0,1,3,1,1,2,-1,-1,400,UNDERGROUND;ZMAX=1;GATE;OPEN_WATER;TEAMS=3,War of the Mighty (Allies).h3m
0,open,Warmongers,144,6,ROE,1,5141,0,16304,True,6,4513,0,0,9,3,64,4,65,4,0,0,0,-1,-1,20,OPEN_WATER;TEAMS=4,Warmongers.h3m
